,Año,Periodo,Parámetro,Gasto medio (€/hab),Lotería de Navidad Consignada (millones de euros)
0,2024,Año,Andalucía,"61,01","522,7"
1,2024,Año,Aragón,"100,28","134,3"
2,2024,Año,Asturias,"115,43",116
3,2024,Año,Baleares,"42,62",51
4,2024,Año,C-LM,"82,78",172
5,2024,Año,C. Madrid,"83,83","575,08"
6,2024,Año,C. Valenciana,"81,82","426,3"
7,2024,Año,Canarias,"46,19","101,7"
8,2024,Año,Cantabria,"99,4","58,4"
9,2024,Año,Cataluña,"56,41","446,1"
10,2024,Año,Ceuta,"18,55","1,5"
11,2024,Año,CyL,"117,76","280,2"
12,2024,Año,Extremadura,"66,76","70,2"
13,2024,Año,Galicia,"79,79","215,1"
14,2024,Año,La Rioja,"112,84","36,39"
15,2024,Año,Melilla,"16,75","1,4"
16,2024,Año,Murcia,"71,41","110,8"
17,2024,Año,Navarra,"58,38","39,2"
18,2024,Año,País Vasco,"84,33","187,1"
